Class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
At4g31920,GO:0031537,GO:0080036,GO:0071368,GO:0010380,GO:0080113,GO:0010082,GO:0080022,GO:0000160,GO:0048367,GO:0009736,GO:0048364,GO:0009735,GO:0009414,GO:0006351,GO:0006355,,,,,,,,,,,,,,,,,,,,,,,
At2g38470,GO:0010120,GO:0010508,GO:0070370,GO:0034605,GO:0010200,GO:0006970,GO:0009408,GO:0042742,GO:0009414,GO:0009409,GO:0009793,GO:0009651,GO:0050832,GO:0006351,GO:0006355,,,,,,,,,,,,,,,,,,,,,,,
At5g17690,GO:0045857,GO:0045814,GO:0010048,GO:0010016,GO:0009648,GO:0009825,GO:0006325,GO:0009910,GO:0006342,GO:0048573,GO:0016569,GO:0048364,GO:0030154,GO:0009908,GO:0006351,,,,,,,,,,,,,,,,,,,,,,,
At2g05100,GO:0090333,GO:0009769,GO:1903428,GO:0030104,GO:0009645,GO:0009269,GO:0009768,GO:0071215,GO:0010218,GO:0009644,GO:0010114,GO:0018298,GO:0009637,GO:0009416,GO:0009409,,,,,,,,,,,,,,,,,,,,,,,
At5g37770,GO:0009961,GO:0080164,GO:0051592,GO:0009612,GO:0010038,GO:0048574,GO:0009646,GO:0042542,GO:0009909,GO:0045087,GO:0009739,GO:0009408,GO:0009733,GO:0009409,GO:0009737,,,,,,,,,,,,,,,,,,,,,,,
At4g39403,GO:0070507,GO:0071368,GO:0009955,GO:0071365,GO:0010105,GO:0010051,GO:0010252,GO:0071369,GO:0009926,GO:0009736,GO:0048364,GO:0009873,GO:0009735,GO:0009734,GO:0009733,,,,,,,,,,,,,,,,,,,,,,,
At2g41370,GO:0010434,GO:0048439,GO:0009864,GO:0009954,GO:0010254,GO:0007229,GO:0010582,GO:0010227,GO:0009944,GO:0030162,GO:0045087,GO:0006970,GO:0046777,GO:0042787,GO:0043161,,,,,,,,,,,,,,,,,,,,,,,
At3g62770,GO:0006497,GO:0034497,GO:0010508,GO:0042594,GO:0000422,GO:0044804,GO:0000045,GO:0006914,GO:0010150,GO:0006970,GO:0009414,GO:0006979,GO:0015031,GO:0050832,GO:0009651,,,,,,,,,,,,,,,,,,,,,,,
At3g11220,GO:0031538,GO:0043609,GO:0010928,GO:0043967,GO:0071329,GO:2000024,GO:0008284,GO:0006368,GO:0043966,GO:0006357,GO:0009738,GO:0009734,GO:0006979,GO:0007275,GO:0009737,,,,,,,,,,,,,,,,,,,,,,,
At4g20260,GO:0035865,GO:0010350,GO:0071286,GO:0071325,GO:0072709,GO:0006499,GO:0031117,GO:0051511,GO:0071280,GO:0071219,GO:0043622,GO:0016032,GO:0071472,GO:0071281,GO:0009414,,,,,,,,,,,,,,,,,,,,,,,
At1g18570,GO:0052544,GO:0009682,GO:0009759,GO:0009625,GO:0009617,GO:0009739,GO:0009723,GO:0009733,GO:0009753,GO:0042742,GO:0009751,GO:0009737,GO:0009651,GO:0006351,GO:0006355,,,,,,,,,,,,,,,,,,,,,,,
At2g16390,GO:1900111,GO:0060964,GO:0070829,GO:0035563,GO:0060966,GO:0071360,GO:1900368,GO:1900370,GO:0032776,GO:0060968,GO:0006306,GO:0010424,GO:0080188,GO:0050832,GO:0008150,,,,,,,,,,,,,,,,,,,,,,,
At1g12480,GO:1903959,GO:0006820,GO:1902456,GO:0015698,GO:0010037,GO:0050891,GO:0009270,GO:0015711,GO:0090332,GO:0006873,GO:0010193,GO:0098656,GO:0010118,GO:0009738,GO:0009737,,,,,,,,,,,,,,,,,,,,,,,
At5g55390,GO:0031937,GO:0061087,GO:0070829,GO:1900363,GO:1900111,GO:0090436,GO:0044030,GO:2000024,GO:0009911,GO:0016569,GO:0010228,GO:0007165,GO:0050832,GO:0006351,GO:0006355,,,,,,,,,,,,,,,,,,,,,,,
At3g27690,GO:0009769,GO:1903428,GO:0030104,GO:0090333,GO:0009645,GO:0009269,GO:0009768,GO:0071215,GO:0018298,GO:0009637,GO:0010218,GO:0010114,GO:0009644,GO:0009416,GO:0009409,,,,,,,,,,,,,,,,,,,,,,,
At2g21660,GO:0000380,GO:0006406,GO:0007623,GO:0010043,GO:0010119,GO:0010501,GO:0010228,GO:0032508,GO:0045087,GO:0006970,GO:0009735,GO:0009414,GO:0009409,GO:0046686,GO:0009651,,,,,,,,,,,,,,,,,,,,,,,
At1g65470,GO:0031507,GO:0045787,GO:0010026,GO:0006325,GO:0009934,GO:0008283,GO:0016569,GO:0000724,GO:0006310,GO:0006260,GO:0006334,GO:0048366,GO:0009555,GO:0006351,GO:0006355,,,,,,,,,,,,,,,,,,,,,,,
At3g16857,GO:0031537,GO:0071368,GO:0080036,GO:0010380,GO:0080113,GO:0010082,GO:0080022,GO:0000160,GO:0048367,GO:0009736,GO:0048364,GO:0009735,GO:0009414,GO:0006351,GO:0006355,,,,,,,,,,,,,,,,,,,,,,,
At1g14940,GO:0010052,GO:1902584,GO:1901002,GO:2000037,GO:0090436,GO:0010376,GO:0010444,GO:0009607,GO:0050891,GO:0009553,GO:0007049,GO:0009737,GO:0006952,GO:0006355,,,,,,,,,,,,,,,,,,,,,,,,
At5g44610,GO:0031115,GO:0010038,GO:0046685,GO:0048768,GO:0043622,GO:0000902,GO:0008360,GO:0010150,GO:0009739,GO:0051301,GO:0009409,GO:0007165,GO:0009737,GO:0009651,,,,,,,,,,,,,,,,,,,,,,,,
At2g22125,GO:0051592,GO:0070507,GO:0051211,GO:2000067,GO:0072699,GO:0010215,GO:0009833,GO:0010208,GO:0048868,GO:0009901,GO:0048467,GO:0030244,GO:0043622,GO:0009414,,,,,,,,,,,,,,,,,,,,,,,,
At5g17490,GO:2000033,GO:0009938,GO:0010187,GO:0009863,GO:2000377,GO:0009867,GO:0042538,GO:0009740,GO:0009739,GO:0009723,GO:0007275,GO:0009737,GO:0006351,GO:0006355,,,,,,,,,,,,,,,,,,,,,,,,
At3g11820,GO:0072660,GO:0072661,GO:0006612,GO:0010148,GO:0031348,GO:0048278,GO:0006906,GO:0010119,GO:0006887,GO:0009620,GO:0016192,GO:0009737,GO:0050832,GO:0006952,,,,,,,,,,,,,,,,,,,,,,,,
At3g54050,GO:0030388,GO:0006001,GO:0006000,GO:0005986,GO:0006094,GO:0006002,GO:0009773,GO:0005985,GO:0019253,GO:0015979,GO:0016311,GO:0009735,GO:0009409,GO:0008150,,,,,,,,,,,,,,,,,,,,,,,,
At4g22970,GO:0045876,GO:1901970,GO:0051307,GO:2000114,GO:0051304,GO:0009960,GO:0009749,GO:0000911,GO:0006887,GO:0009826,GO:0007067,GO:0016192,GO:0009793,GO:0006508,,,,,,,,,,,,,,,,,,,,,,,,
At4g20910,GO:0035279,GO:0006481,GO:0009616,GO:0010589,GO:0035246,GO:0031167,GO:0018022,GO:0080009,GO:0035196,GO:0010093,GO:0006306,GO:0030488,GO:0010305,GO:0009909,,,,,,,,,,,,,,,,,,,,,,,,
At5g02030,GO:0048457,GO:0080006,GO:1905393,GO:0010076,GO:0010077,GO:0007389,GO:0010223,GO:0010089,GO:0010051,GO:0010154,GO:0048367,GO:0010228,GO:0045892,GO:0006351,,,,,,,,,,,,,,,,,,,,,,,,
At5g01600,GO:0006826,GO:0010039,GO:0006880,GO:0055072,GO:0000302,GO:0010043,GO:0042542,GO:0009617,GO:0015979,GO:0048366,GO:0009908,GO:0009735,GO:0009409,GO:0055114,,,,,,,,,,,,,,,,,,,,,,,,
